user_id,blanks,coments,language,cloc
Sammarize,10,0,java,80
Bobik,13,2,C++,129
linguo,6,0,Python,34
sankear,8,0,C++,113
LinesPrower,20,1,C++,138
polmauri,25,0,C++,121
fkmj,12,3,Python,74
xlmj531,9,1,C++,78
goryinyich,11,0,C++,90
dhh1995,46,0,C++,135
ZhouErjin,8,11,C++,65
Burunduk1,22,0,C++,89
Vitaliy,3,0,C,50
2rf,2,18,java,3
MarioYC,7,2,C++,63
Yarin,8,0,java,71
Tomi,13,0,Python,41
Seemann,4,1,java,40
monyura,25,0,C++,147
Swrrt,2,2,C++,78
blmarket,3,0,C++,76
ZbanIlya,2,35,C++,19
Toby,4,0,C++,60
AppleCplus,7,2,C++,62
Psyho,6,0,C++,69
HiltonLange,5,1,C#,61
ifsmirnov,13,0,C++,50
Breakun,10,1,C++,97
WJMZBMR,3,0,C++,46
emaxx,2,23,C++,3
nshepperd,3,2,Python,57
lunae,7,5,C++,36
IvanRomanov,11,0,java,90
TankEngineer,18,3,C++,114
eduardische,18,1,C,108
andrewzta,18,1,java,108
kuba97531,10,0,C#,90
GlebsHP,3,2,C++,54
simonlindholm,2,18,C++,3
stgatilov,6,0,C++,69
buddh4,13,7,C++,45
SergeyMelnikov,7,5,java,36
fagu,13,0,C++,163
buaaGG,16,6,C++,68
chEEtah,4,0,C++,31
freak93,4,1,C++,38
pashka,18,3,java,114
Pompon,7,3,C++,74
MauricioC,3,2,C++,54
rowdark,3,0,C++,76
gojira,13,7,C++,45
protos,14,3,C++,92
Crush,16,1,C++,63
cgy4ever,7,3,C++,76
bmerry,13,1,C++,143
Kostroma,13,0,C++,163
fhlasek,16,6,C++,68
blueblimp,25,0,C++,146
fmm,23,1,C++,147
hansonw,3,0,C++,60
ysyshtc,4,0,java,31
LeoYu,6,2,C++,72
gawry,20,1,C++,138
Fdg,46,0,C++,135
lostRating,8,0,C++,71
Kriiii,13,4,C++,128
liuq901,26,17,C++,187
KalininN,10,0,C++,80
darnley,3,0,java,50
zlfengyi1,7,0,C++,49
PavelKunyavskiy,6,0,C++,120
vot,5,0,java,46
levlam,2,24,C++,3
Skird,17,8,C++,160
EmK,4,1,C++,40
Lutyj,23,1,C++,147
Vasyl,10,0,C++,84
sevenkplus,13,1,C++,53
WindShi,8,1,C++,65
Merkurev,4,1,C++,30
Imsbuno,14,3,C++,92
pperm,10,2,C++,69
Progbeat,6,0,C++,120
Fumiya,26,1,C++,121
Saeed,2,2,C++,78
DmitryEgorov,2,30,C++,4
fuwenjie,13,1,C++,143
Aksenov239,22,0,java,79
PavelKuznetsov,22,0,C#,82
jcn,22,0,C++,89
TripleManiac,8,0,C++,113
dj3500,11,3,C++,126
SergeyFedorov,3,0,C++,60
tanakh,3,0,C++,46
sonyckson,10,0,C++,84
zaq1xsw2tktk,12,0,C#,68
netkuba,11,3,C++,126
dolphinigle,5,0,C++,46
chokudai,6,0,C#,69
imbanoob,25,0,C++,147
oldjunyi,25,1,C++,146
Seyaua,10,1,C++,97
RoBa,3,0,C++,44
Steps09,1,2,C++,34
GetMeng,22,0,java,79
